OCCUPATION_TYPE,EMP_FEIN,EMP_NAICS,EMP_NUM_PAYROLL,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,JOB_AVG_WAGE,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_POSTAL_CODE,PRIMARY_WORKSITE_BLS_AREA,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Non-professional,82-4324461,722511,46,2018,Restaurant Manager,"$60,000.00",,Year,,Business Premises,Stillwater,OK,74074,Northwest Oklahoma nonmetropolitan area,Y,N,N
Professional occupation,83-1684678,541511,81,2018,Firmware Engineer ,"$160,000.00","$160,000.00",Year,"$160,000.00",Business Premises,San Jose,CA,95131,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Non-professional,45-2445533,7225,5,2011,Cook,"$23,754.00","$23,754.00",Year,,Business Premises,Charlotte,NC,28227,"Charlotte-Concord-Gastonia, NC-SC",Y,N,N
Non-professional,47-1158297,812113,1,2014,Nail Technician,$18.00,$20.00,Hour,,Business Premises,Tifton,GA,31794,South Georgia nonmetropolitan area,Y,N,N
Professional occupation,23-2259884,51781,5733,2000,Consultant-Business Intelligence,"$130,104.00",,Year,"$130,104.00",Business Premises,Irving ,TX,75038,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Professional occupation,01-0552543,523940,1285,1996,Associate 3/4 ,"$185,000.00","$250,000.00",Year,"$217,500.00",Business Premises,New York,NY,10055,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,85-3772275,51821,8,2020,Chief Technology Officer,"$150,000.00",,Year,"$150,000.00",Business Premises,Campbell,CA,95008,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,74-2689698,522298,1800,1993,Azure BI Support Lead,"$120,162.00",,Year,"$120,162.00",Business Premises,Austin,TX,78746,"Austin-Round Rock, TX",Y,N,N
Professional occupation,20-4464054,611110,149,2008,Chinese Lead Classroom Teacher,"$70,987.00","$86,026.00",Year,"$78,506.50",Business Premises,Washington,DC,20017,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,Y
Professional occupation,84-1496755,515210,4560,1993,Principal Engineer I,"$110,800.00","$196,400.00",Year,"$153,600.00",Business Premises,Greenwood Village,CO,80111,"Denver-Aurora-Lakewood, CO",Y,N,N
Non-professional,47-1158297,812113,1,2014,Nail Technician,$18.00,$20.00,Hour,,Business Premises,Tifton,GA,31794,South Georgia nonmetropolitan area,Y,N,N
Professional occupation,13-2624428,551112,177559,1799,Software Engineer,"$117,900.00",,Year,"$117,900.00",Business Premises,Columbus,OH,43240,"Columbus, OH",Y,N,N
Professional occupation,83-2649241,238220,140,2017,Mechanical Engineer,"$161,886.00","$161,886.00",Year,"$161,886.00",Business Premises,Santa Clara,CA,95054,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,83-1684678,541511,81,2018,Senior Backend Developer,"$205,000.00",,Year,"$205,000.00",Business Premises,San Jose,CA,95131,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,52-1674023,541330,203,2006,Technical Project Manager,"$127,199.88",,Year,"$127,199.88",Business Premises,Austin,TX,78759,"Austin-Round Rock, TX",Y,N,N
Professional occupation,52-2128781,72111,1659,1968,"Manager, Software Engineering","$146,076.00",,Year,"$146,076.00",Business Premises,Scottsdale,AZ,85255,"Phoenix-Mesa-Scottsdale, AZ",Y,N,N
College/University Teacher,91-6001537,611310,30000,1861,Assistant Professor Tenure Track,"$122,400.00",,Year,,Business Premises,Seattle,WA,98195,"Seattle-Tacoma-Bellevue, WA",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,85-0699832,23611,15,2020,Sales Representative,"$71,219.00","$71,219.00",Year,,Business Premises,San Diego,CA,92117,"San Diego-Carlsbad, CA",Y,N,N
Professional occupation,56-2417519,541618,1500,2003,Commissioning Engineer II ,"$71,657.04",,Year,"$71,657.04",Business Premises,Beaverton ,OR,97005,"Portland-Vancouver-Hillsboro, OR-WA",Y,N,N
Professional occupation,94-1672743,3344,6195,1968,Analog Engineer,"$124,500.00","$195,380.00",Year,"$159,940.00",Business Premises,Santa Clara,CA,95054,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,46-2330361,511210,800,2013,GTM Growth Senior Analyst,"$156,500.00","$185,000.00",Year,"$170,750.00",Business Premises,San Francisco,CA,94105,"San Francisco-Oakland-Hayward, CA",Y,N,N
Professional occupation,20-1794538,541611,1470,2004,Data Integration Architect,"$153,317.00",,Year,"$153,317.00",Business Premises,Atlanta,GA,30319,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,47-1110995,51821,117,2014,Engagement Manager,"$131,250.00","$141,750.00",Year,"$136,500.00",Business Premises,New York,NY,10010,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,81-0776555,541512,4,2016,Senior Embedded Software Engineer,"$283,445.00","$285,000.00",Year,"$284,222.50",Business Premises,Mountain View,CA,94041,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Non-professional,38-2265264,484121,57,1982,Over the Road Operators ,"$51,210.00",,Year,,Business Premises,Laredo,TX,78041,"Laredo, TX",Y,N,N
Non-professional,20-0561071,722511,47,2003,Chef,"$60,320.00","$60,320.00",Year,,Business Premises,Rohnert Park,CA,94928,"Santa Rosa, CA",Y,N,N
Professional occupation,20-0665337,541512,208,2006,Sales Engineer,"$95,763.00","$100,000.00",Year,"$97,881.50",Business Premises,Irving,TX,75063,"Dallas-Fort Worth-Arlington, TX",Y,N,Y
Non-professional,27-1110196,56131,121,2011,PHYSICAL THERAPIST ASSISTANT,$27.00,,Hour,,Business Premises,FLUSHING,NY,11354,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,46-2279556,722513,41,2013,Cook,"$35,360.00","$35,360.00",Year,,Business Premises,Rohnert Park,CA,94928,"Santa Rosa, CA",Y,N,N
Professional occupation,22-3630826,238160,82,1998,Assistant Project Managers,"$71,739.00","$90,000.00",Year,"$80,869.50",Business Premises,Rahway,NJ,07065,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,75-1685884,541330,18,1974,Senior Automation Engineers,"$149,058.00",,Year,"$149,058.00",Business Premises,Foxboro,MA,02035,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
Professional occupation,02-0502162,33911,10300,1960,Sr. Design Quality Engineer,"$118,000.00",,Year,"$118,000.00",Business Premises,Irvine,CA,92617,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,82-4607710,511210,8,2018,Lead Machine Learning Engineer,"$110,677.00","$150,000.00",Year,"$130,338.50",Business Premises,Pittsburgh,PA,15219,"Pittsburgh, PA",Y,N,N
Professional occupation,84-1903436,541511,12,2019,Database Architect,"$112,632.00",,Year,"$112,632.00",Business Premises,Irving,TX,75039,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Professional occupation,86-2944068,3344,143,2021,Product Engineer,"$123,963.00","$195,380.00",Year,"$159,671.50",Business Premises,Santa Clara,CA,95054,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,94-1672743,3344,6195,1968,Component Design Engineer,"$132,800.00","$195,380.00",Year,"$164,090.00",Business Premises,Santa Clara,CA,95054,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,47-4333187,54199,147,2015,Software Engineer I ,"$146,853.15","$216,500.00",Year,"$181,676.58",Business Premises,Bellevue,WA,98004,"Seattle-Tacoma-Bellevue, WA",Y,N,N
Non-professional,99-0292729,61163,5,1991,Administrative Assistant,"$36,000.00",,Year,,Business Premises,Honolulu,HI,96814,"Urban Honolulu, HI",Y,N,N
Professional occupation,81-1453836,54151,40,2014,Software Engineer,"$117,930.00","$117,930.00",Year,"$117,930.00",Business Premises,Alpharetta,GA,30005,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,82-4282107,447110,2,2016,Manager ,"$51,064.00","$51,064.00",Year,,Business Premises,Pensacola ,FL,32504,"Pensacola-Ferry Pass-Brent, FL",Y,N,N
Non-professional,36-4708748,447110,3,2013,Manager,"$52,645.00","$52,645.00",Year,,Business Premises,Ft. Walton Beach ,FL,32548,"Crestview-Fort Walton Beach-Destin, FL",Y,N,N
Professional occupation,23-2175755,515210,31000,1963,"Engineer 3, Database Administration","$48,526.00","$105,000.00",Year,"$76,763.00",Business Premises,Atlanta,GA,30339,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,58-2428073,561320,18207,1998,Helpers-Production Workers,$12.87,$12.87,Hour,,Business Premises,Indianapolis,IN,46214,"Indianapolis-Carmel-Anderson, IN",Y,N,N
Professional occupation,46-1769867,541511,8,2013,Senior Software Developer,"$106,018.00",,Year,"$106,018.00",Business Premises,Dublin,OH,43017,"Columbus, OH",Y,N,N
Professional occupation,33-0857544,334510,2723,1999,Technical Project Manager 2,"$111,322.00","$125,300.00",Year,"$118,311.00",Business Premises,San Diego,CA,92121,"San Diego-Carlsbad, CA",Y,N,N
Professional occupation,95-4062405,54181,104,2016,"Associate Media Director, Programmatic","$95,000.00","$140,000.00",Year,"$117,500.00",Business Premises,Santa Monica,CA,90404,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,35-2145715,524114,181,1944,Engineer Senior,"$133,900.00",,Year,"$133,900.00",Business Premises,Jacksonville,FL,32256,"Jacksonville, FL",Y,N,N
Professional occupation,23-2175755,515210,31000,1963,"Engineer 4, Software Development & Engineering ","$132,330.00","$145,000.00",Year,"$138,665.00",Business Premises,Philadelphia,PA,19103,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Non-professional,46-3516701,447110,3,2013,Manager,"$51,064.00","$51,064.00",Year,,Business Premises,Pensacola,FL,32503,"Pensacola-Ferry Pass-Brent, FL",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Professional occupation,02-0361515,541715,700,1982,Machine Learning Engineer,"$88,000.00","$125,000.00",Year,"$106,500.00",Business Premises,Manchester,NH,03101,Central New Hampshire nonmetropolitan area,Y,N,N
College/University Teacher,82-6000945,611310,6160,1889,Assistant Professor,"$82,570.80",,Year,,Business Premises,Moscow,ID,83844,Northwestern Idaho nonmetropolitan area,Y,N,N
Non-professional,82-2637096,325620,4,2017,Warehouse Clerk,"$24,107.00",,Year,,Business Premises,Norcross,GA,30093,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,36-4933830,333318,6,2019,President/Chief Executive Officer,"$185,000.00",,Year,"$185,000.00",Business Premises,Camarillo,CA,93012,"Oxnard-Thousand Oaks-Ventura, CA",Y,N,N
Professional occupation,43-1372405,54151,190,1985,User Experience (UX) Designer,"$70,000.00",,Year,"$70,000.00",Business Premises,O'Fallon,MO,63368,"St. Louis, MO-IL",Y,N,N
Professional occupation,94-1167402,623990,248,1897,Clinical Counselor,"$63,128.00","$85,000.00",Year,"$74,064.00",Business Premises,Gilroy,CA,95020,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,81-2479371,423940,96,2016,Industrial Production Manager,"$175,000.00",,Year,"$175,000.00",Business Premises,Long Island City,NY,11101,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
College/University Teacher,33-0535371,611310,308,1989,Assistant Professor,"$79,368.00",,Year,,Business Premises,San Marcos,CA,92096-0001,"San Diego-Carlsbad, CA",Y,N,N
Professional occupation,33-0672915,61131,1000,1996,"Attending Physician, Preventive Medicine","$168,000.00","$221,000.00",Year,"$194,500.00",Business Premises,Loma Linda,CA,92354,"Riverside-San Bernardino-Ontario, CA",Y,N,N
Professional occupation,75-0289970,33441,8873,1930,Analog Design Manager,"$174,370.00",,Year,"$174,370.00",Business Premises,Dallas,TX,75243,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Professional occupation,94-1672743,3344,6195,1968,Component Design Engineer,"$123,963.00","$195,380.00",Year,"$159,671.50",Business Premises,Santa Clara,CA,95054,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,95-2775732,51121,2320,1969,Product Engineer,"$72,800.00","$124,800.00",Year,"$98,800.00",Business Premises,Redlands,CA,92373,"Riverside-San Bernardino-Ontario, CA",Y,N,N
Non-professional,58-2428073,561320,18207,1998,Helpers-Production Workers,$13.28,$13.28,Hour,,Business Premises,Columbus,OH,43232,"Columbus, OH",Y,N,N
Non-professional,80-0846641,621610,140,2012,Caregiver,$15.50,,Hour,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Non-professional,80-0846641,621610,140,2012,Caregiver,$15.50,,Hour,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,95-2802947,5412,27,1972,Accountant,"$57,949.00",,Year,"$57,949.00",Business Premises,El Monte,CA,91731,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,20-0962874,424210,190,2004,Distribution Manager,"$94,182.00",,Year,"$94,182.00",Business Premises,East Windsor,NJ,08520,"Trenton, NJ",Y,N,N
Professional occupation,22-2640650,54133,800,1906,Certification Engineer II ,"$92,064.00",,Year,"$92,064.00",Business Premises,Northford,CT,06472,"New Haven, CT",Y,N,N
Non-professional,83-1910618,623312,3,2018,CAREGIVER,"$25,563.00",,Year,,Business Premises,Kailua,HI,96734,"Urban Honolulu, HI",Y,N,N
Professional occupation,23-2535214,541511,100,1988,Solution Architect,"$122,262.00","$122,262.00",Year,"$122,262.00",Business Premises,Bristol ,PA,19007,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Professional occupation,43-1560263,62111,2445,1976,Hospitalists,"$279,000.00",,Year,"$279,000.00",Business Premises,Springfield ,MO,65804,"Springfield, MO",Y,N,N
Non-professional,80-0846641,621610,140,2012,Caregiver,$15.50,,Hour,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,94-1672743,3344,6195,1968,Data Scientist,"$136,940.00","$195,380.00",Year,"$166,160.00",Business Premises,Santa Clara,CA,95054,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,81-2463507,32519,32,2016,Flavorist,"$88,192.00",,Year,"$88,192.00",Business Premises,El Cajon,CA,92020,"San Diego-Carlsbad, CA",Y,N,Y
Non-professional,47-3559400,532289,1,2017,Order Fulfillment Specialist,"$48,797.00",,Year,,Business Premises,Walpole,MA,02081,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
Professional occupation,22-3624064,334111,1299,1994,Mechanical Technical Program Manager,"$117,499.00","$126,250.00",Year,"$121,874.50",Business Premises,Secaucus,NJ,07094,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,43-1961803,48851,95,2002,Accountant,"$57,949.00","$57,949.00",Year,"$57,949.00",Business Premises,Compton,CA,90221,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,61-1435195,711310,195,2000,Video Editor,"$63,544.00","$63,544.00",Year,"$63,544.00",Business Premises,Burbank,CA,91504,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,45-4363630,541940,10,2012,Veterinarian,"$100,000.00","$100,000.00",Year,"$100,000.00",Business Premises,Miami,FL,33180,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Professional occupation,52-1349790,54111,420,1945,"Partner, LATAM Practice ","$450,000.00",,Year,"$450,000.00",Business Premises,Washington,DC,20036,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,N
Non-professional,39-0975675,624120,130,1952,Caregiver,"$30,160.00",,Week,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,42-0175020,524292,1350,1909,IT Developer III,"$118,851.00","$130,000.00",Year,"$124,425.50",Business Premises,West Des Moines,IA,50266,"Des Moines-West Des Moines, IA",Y,N,N
Professional occupation,22-3338547,541511,50,1994,Cloud Solution Architect,"$138,600.00",,Year,"$138,600.00",Business Premises,Piscataway,NJ,08854,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,59-3725585,621511,1028,2001,LIMS Developer,"$101,109.00",,Year,"$101,109.00",Business Premises,Durham,NC,27709,"Durham-Chapel Hill, NC",Y,N,N
Professional occupation,47-2550478,81299,190,2014,Quality Engineer,"$150,000.00",,Year,"$150,000.00",Business Premises,Atlanta,GA,30308,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,31-0841368,52211,12000,1863,Product Manager – Digital Platforms,"$112,528.00",,Year,"$112,528.00",Business Premises,Minneapolis,MN,55402,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,N,N
Professional occupation,76-0532643,541511,698,1997,Software Developer/Programmer Analyst III,"$114,566.00","$114,566.00",Year,"$114,566.00",Business Premises,Louisville,KY,40223,"Louisville/Jefferson County, KY-IN",Y,N,N
Non-professional,47-5451094,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,ELGIN,IL,60123,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Professional occupation,20-8924912,713940,29,2007,US PTA or PTR Certified Coach ,"$30,000.00",,Year,"$30,000.00",Business Premises,Naples ,FL,34105,"Naples-Immokalee-Marco Island, FL",Y,N,N
Non-professional,58-2608868,311615,100,1999,Poultry Worker,"$23,171.00",,Year,,Business Premises,Braselton ,GA,30517,North Georgia nonmetropolitan area,Y,N,N
Professional occupation,37-1344471,31122,201,1995,Corporate Pilot,"$235,000.00","$245,000.00",Year,"$240,000.00",Business Premises,West Chicago,IL,60185,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,Y
Professional occupation,94-1737782,523110,6463,1971,"Sr Manager, Technology Risk Management Lead (011439.000763)","$128,648.00","$246,800.00",Year,"$187,724.00",Business Premises,Westlake,TX,76262,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Professional occupation,86-1053127,541715,62,2003,"Managers, Design","$100,880.00",,Year,"$100,880.00",Business Premises,Troy,OH,45373,"Dayton, OH",Y,N,N
Professional occupation,37-1344471,31122,201,1995,Corporate Pilot,"$235,000.00","$245,000.00",Year,"$240,000.00",Business Premises,West Chicago,IL,60185,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,Y
Professional occupation,27-0533530,541211,47,1983,"Tax Specialists, International and Expatriate Tax","$70,000.00","$81,000.00",Year,"$75,500.00",Business Premises,Fairfax,VA,22033,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,N
Professional occupation,93-0584541,316210,9552,1964,Business Insights Analyst (20742.1378),"$197,505.00",,Year,"$197,505.00",Business Premises,Beaverton,OR,97005,"Portland-Vancouver-Hillsboro, OR-WA",Y,N,N
Professional occupation,35-2634559,511210,110,2018,Senior Product Designer,"$156,000.00","$190,000.00",Year,"$173,000.00",Business Premises,San Francisco,CA,94108,"San Francisco-Oakland-Hayward, CA",Y,N,N
Professional occupation,37-1586879,541110,62,1949,Co-Founder,"$102,253.00","$365,000.00",Year,"$233,626.50",Business Premises,Palo Alto,CA,94304,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Non-professional,22-1717575,623110,297,1966,Nursing Assistant,$21.00,$21.00,Hour,,Business Premises,Hackettstown,NJ,07840,"Allentown-Bethlehem-Easton, PA-NJ",Y,N,N
Professional occupation,37-1344471,31122,201,1995,Corporate Pilot,"$235,000.00","$245,000.00",Year,"$240,000.00",Business Premises,West Chicago,IL,60185,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,Y
Non-professional,61-1112418,562111,60,1986,Machine Operator ,"$23,650.00","$23,650.00",Year,,Business Premises,SOMERSET,KY,42503,South Central Kentucky nonmetropolitan area,Y,N,N
Professional occupation,87-2489798,541420,3,2021,BUSINESS DEVELOPMENT SPECIALIST,"$45,802.00","$55,000.00",Year,"$50,401.00",Business Premises,MIAMI,FL,33172,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Professional occupation,94-1692300,33441,554,1969,MTS Silicon Design Engineer,"$160,000.00","$192,240.00",Year,"$176,120.00",Business Premises,Boxborough,MA,01719,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
Professional occupation,88-2184875,621210,7,2012,Dentist,"$144,000.00",,Year,"$144,000.00",Business Premises,Rockwall,TX,75087,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Professional occupation,41-0793183,33451,34100,1949,Sr. Software Engineer- Mobile Apps,"$130,999.00","$139,999.00",Year,"$135,499.00",Business Premises,Minneapolis,MN,55432,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,N,N
Professional occupation,38-0855585,52429,7600,2004,Sr. Engineer-Software Engineering,"$123,000.00",,Year,"$123,000.00",Business Premises,Detroit,MI,48266,"Detroit-Warren-Dearborn, MI",Y,N,N
Professional occupation,33-0799296,541511,322,1998,Computer Systems Engineer/Architect,"$88,000.00","$90,000.00",Year,"$89,000.00",Business Premises,Los Angeles ,CA,90045,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,13-3937419,523110,586,1997,Vice President,"$143,000.00","$275,000.00",Year,"$209,000.00",Business Premises,Salt Lake City,UT,84101,"Salt Lake City, UT",Y,N,N
Non-professional,45-5079141,611620,4,2012,Jiu Jitsu Instructor,"$42,290.00","$42,290.00",Year,,Business Premises,Fort Lauderdale,FL,33301,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,45-5079141,611620,4,2012,Jiu Jitsu Instructor,"$42,286.00","$42,286.00",Year,,Business Premises,Fort Lauderdale,FL,33301,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,20-0391169,722511,11,2003,Korean Food Cook Assistant,"$41,808.00",,Year,,Business Premises,Madison,TN,37115,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,N,N
Professional occupation,27-0226313,5417,2900,2009,"Principal SAP Sales Engineer, Financial Systems","$176,800.00",,Year,"$176,800.00",Business Premises,Cambridge,MA,02139,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
