CASE_STATUS,OCCUPATION_TYPE,EMP_NAICS,EMP_NUM_PAYROLL,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_BLS_AREA,IS_MULTIPLE_LOCATIONS,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Withdrawn,Professional occupation,51821,117,2014,Engagement Manager,"$131,250.00","$141,750.00",Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,541512,4,2016,Senior Embedded Software Engineer,"$283,445.00","$285,000.00",Year,Business Premises,Mountain View,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Non-professional,484121,57,1982,Over the Road Operators ,"$51,210.00",,Year,Business Premises,Laredo,TX,"Laredo, TX",N,Y,N,N
Withdrawn,Non-professional,722511,47,2003,Chef,"$60,320.00","$60,320.00",Year,Business Premises,Rohnert Park,CA,"Santa Rosa, CA",N,Y,N,N
Withdrawn,Professional occupation,541512,208,2006,Sales Engineer,"$95,763.00","$100,000.00",Year,Business Premises,Irving,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,Y
Withdrawn,Non-professional,56131,121,2011,PHYSICAL THERAPIST ASSISTANT,$27.00,,Hour,Business Premises,FLUSHING,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Non-professional,722513,41,2013,Cook,"$35,360.00","$35,360.00",Year,Business Premises,Rohnert Park,CA,"Santa Rosa, CA",N,Y,N,N
Withdrawn,Professional occupation,238160,82,1998,Assistant Project Managers,"$71,739.00","$90,000.00",Year,Business Premises,Rahway,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,541330,18,1974,Senior Automation Engineers,"$149,058.00",,Year,Business Premises,Foxboro,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Withdrawn,Professional occupation,33911,10300,1960,Sr. Design Quality Engineer,"$118,000.00",,Year,Business Premises,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,511210,8,2018,Lead Machine Learning Engineer,"$110,677.00","$150,000.00",Year,Business Premises,Pittsburgh,PA,"Pittsburgh, PA",N,Y,N,N
Withdrawn,Professional occupation,541511,12,2019,Database Architect,"$112,632.00",,Year,Business Premises,Irving,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Withdrawn,Professional occupation,3344,143,2021,Product Engineer,"$123,963.00","$195,380.00",Year,Business Premises,Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,3344,6195,1968,Component Design Engineer,"$132,800.00","$195,380.00",Year,Business Premises,Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,54199,147,2015,Software Engineer I ,"$146,853.15","$216,500.00",Year,Business Premises,Bellevue,WA,"Seattle-Tacoma-Bellevue, WA",N,Y,N,N
Withdrawn,Non-professional,61163,5,1991,Administrative Assistant,"$36,000.00",,Year,Business Premises,Honolulu,HI,"Urban Honolulu, HI",N,Y,N,N
Withdrawn,Professional occupation,54151,40,2014,Software Engineer,"$117,930.00","$117,930.00",Year,Business Premises,Alpharetta,GA,"Atlanta-Sandy Springs-Roswell, GA",N,Y,N,N
Withdrawn,Non-professional,447110,2,2016,Manager ,"$51,064.00","$51,064.00",Year,Business Premises,Pensacola ,FL,"Pensacola-Ferry Pass-Brent, FL",N,Y,N,N
Withdrawn,Non-professional,447110,3,2013,Manager,"$52,645.00","$52,645.00",Year,Business Premises,Ft. Walton Beach ,FL,"Crestview-Fort Walton Beach-Destin, FL",N,Y,N,N
Withdrawn,Professional occupation,515210,31000,1963,"Engineer 3, Database Administration","$48,526.00","$105,000.00",Year,Business Premises,Atlanta,GA,"Atlanta-Sandy Springs-Roswell, GA",N,Y,N,N
Withdrawn,Non-professional,561320,18207,1998,Helpers-Production Workers,$12.87,$12.87,Hour,Business Premises,Indianapolis,IN,"Indianapolis-Carmel-Anderson, IN",Y,Y,N,N
Withdrawn,Professional occupation,541511,8,2013,Senior Software Developer,"$106,018.00",,Year,Business Premises,Dublin,OH,"Columbus, OH",N,Y,N,N
Withdrawn,Professional occupation,334510,2723,1999,Technical Project Manager 2,"$111,322.00","$125,300.00",Year,Business Premises,San Diego,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Withdrawn,Professional occupation,54181,104,2016,"Associate Media Director, Programmatic","$95,000.00","$140,000.00",Year,Business Premises,Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,524114,181,1944,Engineer Senior,"$133,900.00",,Year,Business Premises,Jacksonville,FL,"Jacksonville, FL",N,Y,N,N
Withdrawn,Professional occupation,515210,31000,1963,"Engineer 4, Software Development & Engineering ","$132,330.00","$145,000.00",Year,Business Premises,Philadelphia,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Withdrawn,Non-professional,447110,3,2013,Manager,"$51,064.00","$51,064.00",Year,Business Premises,Pensacola,FL,"Pensacola-Ferry Pass-Brent, FL",N,Y,N,N
Withdrawn,Non-professional,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,Business Premises,EUTAW,AL,Southwest Alabama nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,541715,700,1982,Machine Learning Engineer,"$88,000.00","$125,000.00",Year,Business Premises,Manchester,NH,Central New Hampshire nonmetropolitan area,N,Y,N,N
Withdrawn,College/University Teacher,611310,6160,1889,Assistant Professor,"$82,570.80",,Year,Business Premises,Moscow,ID,Northwestern Idaho nonmetropolitan area,N,Y,N,N
Withdrawn,Non-professional,325620,4,2017,Warehouse Clerk,"$24,107.00",,Year,Business Premises,Norcross,GA,"Atlanta-Sandy Springs-Roswell, GA",N,Y,N,N
Withdrawn,Professional occupation,333318,6,2019,President/Chief Executive Officer,"$185,000.00",,Year,Business Premises,Camarillo,CA,"Oxnard-Thousand Oaks-Ventura, CA",N,Y,N,N
Withdrawn,Professional occupation,54151,190,1985,User Experience (UX) Designer,"$70,000.00",,Year,Business Premises,O'Fallon,MO,"St. Louis, MO-IL",N,Y,N,N
Withdrawn,Professional occupation,623990,248,1897,Clinical Counselor,"$63,128.00","$85,000.00",Year,Business Premises,Gilroy,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,423940,96,2016,Industrial Production Manager,"$175,000.00",,Year,Business Premises,Long Island City,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,College/University Teacher,611310,308,1989,Assistant Professor,"$79,368.00",,Year,Business Premises,San Marcos,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Withdrawn,Professional occupation,61131,1000,1996,"Attending Physician, Preventive Medicine","$168,000.00","$221,000.00",Year,Business Premises,Loma Linda,CA,"Riverside-San Bernardino-Ontario, CA",N,Y,N,N
Withdrawn,Professional occupation,33441,8873,1930,Analog Design Manager,"$174,370.00",,Year,Business Premises,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Withdrawn,Professional occupation,3344,6195,1968,Component Design Engineer,"$123,963.00","$195,380.00",Year,Business Premises,Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,51121,2320,1969,Product Engineer,"$72,800.00","$124,800.00",Year,Business Premises,Redlands,CA,"Riverside-San Bernardino-Ontario, CA",N,Y,N,N
Withdrawn,Non-professional,561320,18207,1998,Helpers-Production Workers,$13.28,$13.28,Hour,Business Premises,Columbus,OH,"Columbus, OH",Y,Y,N,N
Withdrawn,Non-professional,621610,140,2012,Caregiver,$15.50,,Hour,No one specific worksite address or physical location,N/A,,N/A,Y,Y,N,N
Withdrawn,Non-professional,621610,140,2012,Caregiver,$15.50,,Hour,No one specific worksite address or physical location,N/A,,N/A,Y,Y,N,N
Withdrawn,Professional occupation,5412,27,1972,Accountant,"$57,949.00",,Year,Business Premises,El Monte,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,424210,190,2004,Distribution Manager,"$94,182.00",,Year,Business Premises,East Windsor,NJ,"Trenton, NJ",N,Y,N,N
Withdrawn,Professional occupation,54133,800,1906,Certification Engineer II ,"$92,064.00",,Year,Business Premises,Northford,CT,"New Haven, CT",N,Y,N,N
Withdrawn,Non-professional,623312,3,2018,CAREGIVER,"$25,563.00",,Year,Business Premises,Kailua,HI,"Urban Honolulu, HI",N,Y,N,N
Withdrawn,Professional occupation,541511,100,1988,Solution Architect,"$122,262.00","$122,262.00",Year,Business Premises,Bristol ,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Withdrawn,Professional occupation,62111,2445,1976,Hospitalists,"$279,000.00",,Year,Business Premises,Springfield ,MO,"Springfield, MO",N,Y,N,N
Withdrawn,Non-professional,621610,140,2012,Caregiver,$15.50,,Hour,No one specific worksite address or physical location,N/A,,N/A,Y,Y,N,N
Withdrawn,Professional occupation,3344,6195,1968,Data Scientist,"$136,940.00","$195,380.00",Year,Business Premises,Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,32519,32,2016,Flavorist,"$88,192.00",,Year,Business Premises,El Cajon,CA,"San Diego-Carlsbad, CA",N,Y,N,Y
Withdrawn,Non-professional,532289,1,2017,Order Fulfillment Specialist,"$48,797.00",,Year,Business Premises,Walpole,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Withdrawn,Professional occupation,334111,1299,1994,Mechanical Technical Program Manager,"$117,499.00","$126,250.00",Year,Business Premises,Secaucus,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,48851,95,2002,Accountant,"$57,949.00","$57,949.00",Year,Business Premises,Compton,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,711310,195,2000,Video Editor,"$63,544.00","$63,544.00",Year,Business Premises,Burbank,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,541940,10,2012,Veterinarian,"$100,000.00","$100,000.00",Year,Business Premises,Miami,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Withdrawn,Non-professional,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,Business Premises,EUTAW,AL,Southwest Alabama nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,54111,420,1945,"Partner, LATAM Practice ","$450,000.00",,Year,Business Premises,Washington,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",N,Y,N,N
Withdrawn,Non-professional,624120,130,1952,Caregiver,"$30,160.00",,Week,No one specific worksite address or physical location,N/A,,N/A,Y,Y,N,N
Withdrawn,Professional occupation,524292,1350,1909,IT Developer III,"$118,851.00","$130,000.00",Year,Business Premises,West Des Moines,IA,"Des Moines-West Des Moines, IA",N,Y,N,N
Withdrawn,Professional occupation,541511,50,1994,Cloud Solution Architect,"$138,600.00",,Year,Business Premises,Piscataway,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,621511,1028,2001,LIMS Developer,"$101,109.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Withdrawn,Professional occupation,81299,190,2014,Quality Engineer,"$150,000.00",,Year,Business Premises,Atlanta,GA,"Atlanta-Sandy Springs-Roswell, GA",N,Y,N,N
Withdrawn,Professional occupation,52211,12000,1863,Product Manager – Digital Platforms,"$112,528.00",,Year,Business Premises,Minneapolis,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",N,Y,N,N
Withdrawn,Professional occupation,541511,698,1997,Software Developer/Programmer Analyst III,"$114,566.00","$114,566.00",Year,Business Premises,Louisville,KY,"Louisville/Jefferson County, KY-IN",Y,Y,N,N
Withdrawn,Non-professional,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,Business Premises,ELGIN,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Withdrawn,Professional occupation,713940,29,2007,US PTA or PTR Certified Coach ,"$30,000.00",,Year,Business Premises,Naples ,FL,"Naples-Immokalee-Marco Island, FL",N,Y,N,N
Withdrawn,Non-professional,311615,100,1999,Poultry Worker,"$23,171.00",,Year,Business Premises,Braselton ,GA,North Georgia nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,31122,201,1995,Corporate Pilot,"$235,000.00","$245,000.00",Year,Business Premises,West Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,Y
Withdrawn,Professional occupation,523110,6463,1971,"Sr Manager, Technology Risk Management Lead (011439.000763)","$128,648.00","$246,800.00",Year,Business Premises,Westlake,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Withdrawn,Professional occupation,541715,62,2003,"Managers, Design","$100,880.00",,Year,Business Premises,Troy,OH,"Dayton, OH",N,Y,N,N
Withdrawn,Professional occupation,31122,201,1995,Corporate Pilot,"$235,000.00","$245,000.00",Year,Business Premises,West Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,Y
Withdrawn,Professional occupation,541211,47,1983,"Tax Specialists, International and Expatriate Tax","$70,000.00","$81,000.00",Year,Business Premises,Fairfax,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",N,Y,N,N
Withdrawn,Professional occupation,316210,9552,1964,Business Insights Analyst (20742.1378),"$197,505.00",,Year,Business Premises,Beaverton,OR,"Portland-Vancouver-Hillsboro, OR-WA",Y,Y,N,N
Withdrawn,Professional occupation,511210,110,2018,Senior Product Designer,"$156,000.00","$190,000.00",Year,Business Premises,San Francisco,CA,"San Francisco-Oakland-Hayward, CA",N,Y,N,N
Withdrawn,Professional occupation,541110,62,1949,Co-Founder,"$102,253.00","$365,000.00",Year,Business Premises,Palo Alto,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Non-professional,623110,297,1966,Nursing Assistant,$21.00,$21.00,Hour,Business Premises,Hackettstown,NJ,"Allentown-Bethlehem-Easton, PA-NJ",N,Y,N,N
Withdrawn,Professional occupation,31122,201,1995,Corporate Pilot,"$235,000.00","$245,000.00",Year,Business Premises,West Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,Y
Withdrawn,Non-professional,562111,60,1986,Machine Operator ,"$23,650.00","$23,650.00",Year,Business Premises,SOMERSET,KY,South Central Kentucky nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,541420,3,2021,BUSINESS DEVELOPMENT SPECIALIST,"$45,802.00","$55,000.00",Year,Business Premises,MIAMI,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Withdrawn,Professional occupation,33441,554,1969,MTS Silicon Design Engineer,"$160,000.00","$192,240.00",Year,Business Premises,Boxborough,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Withdrawn,Professional occupation,621210,7,2012,Dentist,"$144,000.00",,Year,Business Premises,Rockwall,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Withdrawn,Professional occupation,33451,34100,1949,Sr. Software Engineer- Mobile Apps,"$130,999.00","$139,999.00",Year,Business Premises,Minneapolis,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",N,Y,N,N
Withdrawn,Professional occupation,52429,7600,2004,Sr. Engineer-Software Engineering,"$123,000.00",,Year,Business Premises,Detroit,MI,"Detroit-Warren-Dearborn, MI",N,Y,N,N
Withdrawn,Professional occupation,541511,322,1998,Computer Systems Engineer/Architect,"$88,000.00","$90,000.00",Year,Business Premises,Los Angeles ,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,523110,586,1997,Vice President,"$143,000.00","$275,000.00",Year,Business Premises,Salt Lake City,UT,"Salt Lake City, UT",N,Y,N,N
Withdrawn,Non-professional,611620,4,2012,Jiu Jitsu Instructor,"$42,290.00","$42,290.00",Year,Business Premises,Fort Lauderdale,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Withdrawn,Non-professional,611620,4,2012,Jiu Jitsu Instructor,"$42,286.00","$42,286.00",Year,Business Premises,Fort Lauderdale,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Withdrawn,Non-professional,722511,11,2003,Korean Food Cook Assistant,"$41,808.00",,Year,Business Premises,Madison,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",N,Y,N,N
Withdrawn,Professional occupation,5417,2900,2009,"Principal SAP Sales Engineer, Financial Systems","$176,800.00",,Year,Business Premises,Cambridge,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Withdrawn,Non-professional,561730,9,2013,Groundskeeper,$12.00,$17.00,Hour,Business Premises,Wichita,KS,"Wichita, KS",N,Y,N,N
Withdrawn,Professional occupation,515210,4560,1993,Principal Engineer I,"$110,800.00","$196,400.00",Year,Business Premises,Greenwood Village,CO,"Denver-Aurora-Lakewood, CO",N,Y,N,N
Withdrawn,Professional occupation,51821,1287,2002,Senior Software Engineer,"$218,608.00","$586,625.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,611620,2,2011,Instructional Coordinator,"$54,000.00","$54,000.00",Year,Business Premises,Woodstock,MD,"Baltimore-Columbia-Towson, MD",N,Y,N,N
Withdrawn,Professional occupation,335314,2047,1903,Senior MES Consultant,"$144,555.00",,Year,Business Premises,Milwaukee,WI,"Milwaukee-Waukesha-West Allis, WI",N,Y,N,N
Withdrawn,Professional occupation,541330,55,2009,Validation Specialist,"$87,422.00","$87,422.00",Year,Business Premises,Plainsboro,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Y,Y,N,N
Withdrawn,Non-professional,721110,215,1984,Housekeeping Director ,"$32,386.00","$32,386.00",Year,Business Premises,SAIPAN,MP,Northern Mariana Islands,N,Y,N,N
Withdrawn,Professional occupation,334111,3560,1977,Software Development Engineer,"$115,000.00","$177,000.00",Year,Business Premises,San Diego,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Withdrawn,Non-professional,62161,45,2017,Caregiver,"$20,197.00","$20,197.00",Year,Business Premises,Rock Hill,SC,"Charlotte-Concord-Gastonia, NC-SC",N,Y,N,N
