CASE_STATUS,OCCUPATION_TYPE,EMP_NAICS,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_BLS_AREA,IS_MULTIPLE_LOCATIONS,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Certified,Professional occupation,5416,2000,Quality Engineering Architecture Associate Manager,"$110,300.00",,Year,Business Premises,St. Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL",N,Y,N,N
Certified,Professional occupation,5416,2000,Business & Technology Delivery Manager,"$150,900.00",,Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",N,Y,N,N
Certified,Non-professional,445210,1999,Stockers,"$25,875.00","$25,875.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$126,700.00",,Year,Business Premises,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Non-professional,445210,1999,Stockers,"$25,875.00","$25,875.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Business & Technology Delivery Manager,"$120,800.00",,Year,Business Premises,Minneapolis,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Associate Manager,"$121,742.00",,Year,Business Premises,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,5416,2000,Cloud Migration & Implementation Manager,"$169,400.00",,Year,Business Premises,Florham Park,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Non-professional,445210,1999,Housekeeper,"$21,923.00","$21,923.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Augmented Insights Manager,"$155,400.00",,Year,Business Premises,Irving,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Non-professional,624120,2019,CAREGIVER,"$33,280.00","$41,600.00",Year,Business Premises,THOUSAND OAKS,CA,"Oxnard-Thousand Oaks-Ventura, CA",Y,Y,N,N
Certified,Non-professional,236116,2004,Plumber,"$66,893.00","$66,893.00",Year,Business Premises,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Non-professional,23899,2011,Fence Laborer,"$43,846.00",,Year,Business Premises,Morris,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Non-professional,325991,2019,Composites Material Quality Analyst,"$67,000.00","$70,000.00",Year,Business Premises,Pensacola,FL,"Pensacola-Ferry Pass-Brent, FL",N,Y,N,N
Certified,Non-professional,814110,2021,NANNY,"$29,120.00",,Year,Employer's private household (includes live-in and domestic household worker),AUSTIN,TX,"Austin-Round Rock, TX",N,Y,N,N
Certified,Non-professional,814110,2021,NANNY,"$29,120.00",,Year,Employer's private household (includes live-in and domestic household worker),AUSTIN,TX,"Austin-Round Rock, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$113,194.00",,Year,Business Premises,Milwaukee,WI,"Milwaukee-Waukesha-West Allis, WI",N,Y,N,N
Certified,Non-professional,721110,1984,Housekeeper,"$26,062.00","$26,062.00",Year,Business Premises,Torrey,UT,Central Utah nonmetropolitan area,N,Y,N,N
Certified,Professional occupation,5416,2000,Technology Architecture Delivery Manager,"$153,000.00",,Year,Business Premises,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,College/University Teacher,61131,1846,"Assistant Professor of Markets, Innovation & Design","$143,390.00","$150,000.00",Year,Business Premises,Lewisburg,PA,Southern Pennsylvania nonmetropolitan area,N,Y,N,N
Certified,Non-professional,721110,1984,Housekeeper,"$26,062.00","$26,062.00",Year,Business Premises,Torrey,UT,Central Utah nonmetropolitan area,N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$126,100.00",,Year,Business Premises,Austin,TX,"Austin-Round Rock, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$125,800.00",,Year,Business Premises,Minneapolis,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",N,Y,N,N
Certified,Non-professional,721110,1984,Housekeeper,"$26,062.00","$26,062.00",Year,Business Premises,Torrey,UT,Central Utah nonmetropolitan area,N,Y,N,N
Certified,Non-professional,721110,1984,Housekeeper,"$26,062.00","$26,062.00",Year,Business Premises,Torrey,UT,Central Utah nonmetropolitan area,N,Y,N,N
Certified,College/University Teacher,61131,1846,Assistant Professor of Geography,"$77,530.00","$101,520.00",Year,Business Premises,Lewisburg,PA,Southern Pennsylvania nonmetropolitan area,N,Y,N,N
Certified,Non-professional,23899,2011,Fence Laborer,"$43,846.00",,Year,Business Premises,Morris,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$112,653.00",,Year,Business Premises,Detroit,MI,"Detroit-Warren-Dearborn, MI",N,Y,N,N
Certified,Non-professional,23899,2011,Fence Laborer,"$43,846.00",,Year,Business Premises,Morris,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Non-professional,721110,1984,Housekeeper,"$26,062.00","$26,062.00",Year,Business Premises,Torrey,UT,Central Utah nonmetropolitan area,N,Y,N,N
Certified,Non-professional,722511,2009,Restaurant Manager,"$44,200.00",,Year,Business Premises,Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Non-professional,722511,2009,Restaurant Manager,"$44,200.00",,Year,Business Premises,Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Specialist,"$130,998.00",,Year,Business Premises,Minneapolis,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",N,Y,N,N
Certified,Non-professional,721110,1984,Housekeeper,"$26,062.00","$26,062.00",Year,Business Premises,Torrey,UT,Central Utah nonmetropolitan area,N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$123,000.00",,Year,Business Premises,Hartford,CT,"Hartford-West Hartford-East Hartford, CT",N,Y,N,N
Certified,Non-professional,23899,2011,Fence Laborer,"$43,846.00",,Year,Business Premises,Morris,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$139,600.00",,Year,Business Premises,Columbus,OH,"Columbus, OH",N,Y,N,N
Certified,Non-professional,23899,2011,Fence Laborer,"$43,846.00",,Year,Business Premises,Morris,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,College/University Teacher,61131,1846,Assistant Professor of Leadership,"$160,000.00",,Year,Business Premises,Lewisburg,PA,Southern Pennsylvania nonmetropolitan area,N,Y,N,N
Certified,Professional occupation,325412,1971,"Scientist Ill, Bioanalysis","$96,600.00","$145,000.00",Year,Business Premises,North Brunswick,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,488510,2009,Logistics Analyst,"$62,629.00",,Year,Business Premises,Ridgefield,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,523920,2017,Financial and Investment Analyst,"$60,000.00","$60,000.00",Year,Business Premises,KEY BISCAYNE,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Certified,Professional occupation,33611,2017,Automotive Exterior Designer,"$160,000.00","$172,730.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,541511,1997,Business Intelligence Analyst,"$117,187.00",,Year,Business Premises,Poway,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Certified,Professional occupation,325412,1885,Clinical Data Engineer,"$117,900.00","$176,900.00",Year,Business Premises,Ridgefield,CT,"Bridgeport-Stamford-Norwalk, CT",N,Y,N,N
Certified,Professional occupation,541511,1997,Business Intelligence Analyst,"$117,187.00",,Year,Business Premises,Poway,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Certified,Professional occupation,524114,1936,Senior Application System Analyst/Programmer,"$117,374.00",,Year,Business Premises,Birmingham,AL,"Birmingham-Hoover, AL",N,Y,N,N
Certified,Professional occupation,332311,1960,Senior Sales Engineer,"$129,495.00","$129,495.00",Year,Business Premises,Kansas City,MO,"Kansas City, MO-KS",N,Y,N,N
Certified,Professional occupation,52232,2017,Software Engineer,"$140,000.00",,Year,Business Premises,Draper,UT,"Salt Lake City, UT",N,Y,N,N
Certified,Professional occupation,71121,2016,eSports Assistant Coach (ME030),"$115,000.00","$125,000.00",Year,Business Premises,Culver City,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,52232,2017,Software Engineer,"$120,000.00",,Year,Business Premises,Draper,UT,"Salt Lake City, UT",N,Y,N,N
Certified,Professional occupation,541519,1955,Audit Project Manager,"$117,532.80","$117,532.80",Year,Business Premises,Phoenix,AZ,"Phoenix-Mesa-Scottsdale, AZ",N,Y,N,N
Certified,Professional occupation,33611,2017,Powertrain Engineer,"$155,000.00","$165,000.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,52232,2017,Software Engineer,"$240,000.00",,Year,Business Premises,Draper,UT,"Salt Lake City, UT",N,Y,N,N
Certified,Professional occupation,523110,1984,Director (Credit Derivatives Trader),"$350,000.00",,Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,71121,2016,eSports Head Coach (ME034),"$170,000.00","$180,000.00",Year,Business Premises,Culver City,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,33599,2001,"Staff Process Engineer, NPI(s)","$139,400.00","$200,600.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Professional occupation,33611,2017,Battery Design Release Engineer,"$140,000.00","$150,190.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,541511,2009,Software Developer,"$87,434.00",,Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",Y,Y,N,N
Certified,Professional occupation,541614,2018,Software Developer,"$73,965.00",,Year,Business Premises,Aurora,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,541511,2016,Software Engineer,"$98,904.00",,Year,Business Premises,Plano,TX,"Dallas-Fort Worth-Arlington, TX",Y,Y,N,N
Certified,Professional occupation,488510,2009,Logistics Analyst,"$62,629.00",,Year,Business Premises,Ridgefield,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,541340,1994,Building Infrastructure Modeler,"$63,000.00",,Year,Business Premises,Pittsburgh,PA,"Pittsburgh, PA",N,Y,N,N
Certified,Professional occupation,541511,1997,Business Intelligence Analyst,"$117,187.00",,Year,Business Premises,Poway,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Certified,Professional occupation,541511,2016,Software Engineer,"$80,850.00",,Year,Business Premises,Plano,TX,"Dallas-Fort Worth-Arlington, TX",Y,Y,N,N
Certified,Professional occupation,33611,2017,Supplier Quality Engineer,"$150,000.00","$160,000.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,51919,1987,Principal Software Developer,"$158,000.00","$240,000.00",Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,541511,2001,Software Test Engineer,"$85,000.00",,Year,Business Premises,St Paul,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,N,N
Certified,Professional occupation,327991,2015,Maintenance Manager,"$82,300.00","$82,300.00",Year,Business Premises,Richmond Hill,GA,"Savannah, GA",N,Y,N,N
Certified,Professional occupation,541511,1997,Business Intelligence Analyst,"$117,187.00",,Year,Business Premises,Poway,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Certified,Professional occupation,33611,2017,CAE Engineer,"$175,100.00","$185,100.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,33611,2017,CAE Engineer,"$126,500.00","$150,190.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,33611,2017,Embedded Software Engineer – OTA,"$200,000.00","$207,230.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,College/University Teacher,611310,1885,Assistant Professor-Social Work,"$81,500.00",,Year,Business Premises,Bryn Mawr,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Certified,Professional occupation,33611,2017,Mechanical Engineer,"$169,950.00","$179,950.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,33611,2017,Vehicle Integration Engineer,"$140,400.00","$150,190.00",Year,Business Premises,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Non-professional,624120,2019,CAREGIVER,"$33,280.00","$41,600.00",Year,Business Premises,THOUSAND OAKS,CA,"Oxnard-Thousand Oaks-Ventura, CA",Y,Y,N,N
Certified,Professional occupation,722511,2020,Accountant Manager,"$48,300.00","$48,300.00",Year,Business Premises,MIAMI,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Certified,Professional occupation,522110,1929,Data Engineer,"$143,250.00","$173,854.00",Year,Business Premises,San Diego,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Certified,Professional occupation,325412,1885,Principal Scientist,"$113,500.00","$170,200.00",Year,Business Premises,Ridgefield,CT,"Bridgeport-Stamford-Norwalk, CT",N,Y,N,N
Certified,College/University Teacher,611310,1885,Assistant Professor-Biology,"$81,500.00",,Year,Business Premises,Bryn Mawr,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Certified,Professional occupation,523110,2007,Assistant Vice President,"$115,565.00",,Year,Business Premises,Jersey City,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,541340,1994,Building Documentation Modeler,"$63,000.00",,Year,Business Premises,Pittsburgh,PA,"Pittsburgh, PA",N,Y,N,N
Certified,Professional occupation,5418,2011,Operations Manager,"$75,000.00",,Year,Business Premises,Flushing,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,51919,1987,Principal Software Developer,"$158,000.00","$240,000.00",Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Professional occupation,541519,1955,Business Analyst III,"$112,944.00","$112,944.00",Year,Business Premises,Phoenix,AZ,"Phoenix-Mesa-Scottsdale, AZ",N,Y,N,N
Certified,Professional occupation,325412,1885,Senior Scientist,"$102,200.00","$153,300.00",Year,Business Premises,Ridgefield,CT,"Bridgeport-Stamford-Norwalk, CT",N,Y,N,N
Certified,Professional occupation,541511,2009,Software Developer,"$87,434.00",,Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",Y,Y,N,N
Certified,Professional occupation,335999,2001,Sr. Staff Mechanical Engineer(s),"$139,400.00","$200,600.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Professional occupation,541614,2018,Accountant,"$51,501.00",,Year,Business Premises,Aurora,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,541511,1997,Business Intelligence Analyst,"$117,187.00",,Year,Business Premises,Poway,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Certified,Professional occupation,51919,1987,Principal Software Developer,"$158,000.00","$240,000.00",Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Certified,Non-professional,238220,2018,HVAC Mechanic,"$38,860.00","$38,860.00",Year,Business Premises,Feasterville,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Certified,Non-professional,56173,2001,LANDSCAPING WORKER,"$35,000.00",,Year,Business Premises,NORWALK,CT,"Bridgeport-Stamford-Norwalk, CT",N,Y,N,N
Certified,Professional occupation,522320,2019,CyberSource Associate Technical Support Analyst,"$59,197.00","$59,197.00",Year,Business Premises,Cibolo,TX,"San Antonio-New Braunfels, TX",N,Y,N,N
Certified,Professional occupation,54161,1996,MANAGEMENT CONSULTANT,"$71,000.00",,Year,Business Premises,BOSTON,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Certified,Professional occupation,541380,2009,"Chemist, Organic and Inorganic Analysis","$73,819.00",,Year,Business Premises,LAS VEGAS,NV,"Las Vegas-Henderson-Paradise, NV",N,Y,N,N
Certified,Professional occupation,541380,2009,"Chemist, Organic and Inorganic Analysis","$73,819.00",,Year,Business Premises,LAS VEGAS,NV,"Las Vegas-Henderson-Paradise, NV",N,Y,N,N
Certified,Professional occupation,541380,2009,"Chemist, Organic and Inorganic Analysis","$73,819.00",,Year,Business Premises,LAS VEGAS,NV,"Las Vegas-Henderson-Paradise, NV",N,Y,N,N
Certified,Professional occupation,54151,2016,Software Engineer 2-1 (Multiple Positions),"$128,000.00","$232,560.00",Year,Business Premises,Bellevue,WA,"Seattle-Tacoma-Bellevue, WA",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Professional occupation,54151,2016,Senior Operations Manager (3-1) (Multiple Positions),"$195,936.00","$203,680.00",Year,Business Premises,Culver City,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,62111,2010,Physician (Hospitalist),"$232,500.00",,Year,Business Premises,Warwick,RI,"Providence-Warwick, RI-MA",N,Y,N,N
Certified,Professional occupation,33312,1925,Lead Software Engineer,"$150,137.00","$164,137.00",Year,Business Premises,Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Professional occupation,54151,2016,Software Engineer 2-1 (Multiple Positions),"$128,000.00","$232,560.00",Year,Business Premises,Bellevue,WA,"Seattle-Tacoma-Bellevue, WA",N,Y,N,N
Certified,Professional occupation,54151,2016,Senior Data Scientist (3-1) (Multiple Positions),"$184,000.00","$332,800.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Professional occupation,541511,1998,Software Engineer,"$94,100.00",,Year,Business Premises,Arlington Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,54151,2016,Software Engineer in Speech & Audio (Multiple Positions),"$142,000.00","$172,800.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Professional occupation,33312,1925,Autonomy Sr. Staff Engineer,"$184,048.00","$205,048.00",Year,Business Premises,San Francisco,CA,"San Francisco-Oakland-Hayward, CA",N,Y,N,N
Certified,Professional occupation,33312,1925,Embedded SW Engineer Specialist,"$132,137.00","$144,137.00",Year,Business Premises,Chillicothe,IL,"Peoria, IL",N,Y,N,N
Certified,Non-professional,722511,2018,Dishwasher,"$27,300.00",,Year,Business Premises,Traverse City,MI,Northwest Lower Peninsula of Michigan nonmetropolitan area,N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Professional occupation,54151,2016,Software Engineer 2-1 (Multiple Positions),"$128,000.00","$232,560.00",Year,Business Premises,Bellevue,WA,"Seattle-Tacoma-Bellevue, WA",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Professional occupation,541330,1947,Transportation Engineer 4,"$115,565.00",,Year,Business Premises,Boston,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Certified,Professional occupation,54151,2016,Data Scientist (2-2) (Multiple Positions),"$131,000.00","$228,000.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Professional occupation,54151,2016,Data Analyst (2-1) (Multiple Positions),"$154,981.00","$228,000.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Professional occupation,54151,2016,Research Scientist (2-2) (Multiple Positions),"$221,000.00","$338,560.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,722511,2014,Specialty Cook,"$32,282.00","$32,282.00",Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Non-professional,485410,1920,General Laborer,"$31,200.00",,Year,Business Premises,Madison,WI,"Madison, WI",N,Y,N,N
Certified,Non-professional,4841,2018,OVER THE ROAD TRUCK DRIVER,"$65,550.00","$70,000.00",Year,Business Premises,Aurora,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,54151,2016,Senior Data Scientist (3-1) (Multiple Positions),"$184,000.00","$332,800.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Certified,Professional occupation,541330,1947,Transportation Planner 4,"$114,837.00",,Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",N,Y,N,N
Certified,Non-professional,722513,2017,Crew Member,"$20,930.00",,Year,Business Premises,Durham,NC,"Durham-Chapel Hill, NC",N,Y,N,N
Certified,Professional occupation,54151,2016,Data Analyst (2-1) (Multiple Positions),"$154,981.00","$228,000.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
